Núm,Projeto,Relator,Atribuído a,Prioridade,Gravidade,Freqüência,Versão do Produto,Categoria,Data de Envio,SO,Versão SO,Plataforma,Visibilidade,Atualizado,Resumo,Estado,Resolução,Corrigido na Versão
0003532,Larissa Bicalho's Project,larissa.bicalho,larissa.bicalho,normal,pequeno,não se tentou,,(Nenhuma Categoria),2020-02-13,,,,público,2020-02-19,Larissa,atribuído,aberto,
0003633,Larissa Bicalho's Project,larissa.bicalho,,normal,obstáculo,incapaz de reproduzir,,General,2020-02-19,Windows,10,Desktop ,público,2020-02-19,Teste1,novo,aberto,
0003632,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,sempre,,a,2020-02-19,Windows,10,Desktop ,público,2020-02-19,resumo,novo,aberto,
0003631,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,sempre,,a,2020-02-19,Windows,10,Desktop ,público,2020-02-19,resumo,novo,aberto,
0003630,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,sempre,,a,2020-02-19,Windows,10,Desktop ,público,2020-02-19,resumo,novo,aberto,
0003626,Larissa Bicalho's Project,larissa.bicalho,,normal,obstáculo,incapaz de reproduzir,,General,2020-02-18,Windows,10,Desktop ,público,2020-02-18,Teste3,novo,aberto,
0003625,Larissa Bicalho's Project,larissa.bicalho,,normal,obstáculo,incapaz de reproduzir,,General,2020-02-18,Windows,10,Desktop ,público,2020-02-18,Teste2,novo,aberto,
0003624,Larissa Bicalho's Project,larissa.bicalho,,normal,obstáculo,incapaz de reproduzir,,General,2020-02-18,Windows,10,Desktop ,público,2020-02-18,Teste1,novo,aberto,
0003623,Larissa Bicalho's Project,larissa.bicalho,,normal,obstáculo,incapaz de reproduzir,,General,2020-02-18,Windows,10,Desktop ,público,2020-02-18,Teste3,novo,aberto,
0003622,Larissa Bicalho's Project,larissa.bicalho,,normal,obstáculo,incapaz de reproduzir,,General,2020-02-18,Windows,10,Desktop ,público,2020-02-18,Teste2,novo,aberto,
0003621,Larissa Bicalho's Project,larissa.bicalho,,normal,obstáculo,incapaz de reproduzir,,General,2020-02-18,Windows,10,Desktop ,público,2020-02-18,Teste2,novo,aberto,
0003620,Larissa Bicalho's Project,larissa.bicalho,,normal,obstáculo,incapaz de reproduzir,,General,2020-02-18,Windows,10,Desktop ,público,2020-02-18,Teste2,novo,aberto,
0003619,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,não se tentou,,a,2020-02-18,,,,público,2020-02-18,jjjj,novo,aberto,
0003618,Desafio jMeter Project 2,bruno.alexandre,,baixa,recurso,às vezes,,XY2867XJ,2020-02-18,,,,público,2020-02-18,TESTE ATIVIDADE AVALIATIVA,novo,aberto,
0003617,Desafio jMeter Project 2,bruno.alexandre,,baixa,recurso,às vezes,,XY2867XJ,2020-02-18,,,,público,2020-02-18,TESTE ATIVIDADE AVALIATIVA,novo,aberto,
0003615,Desafio jMeter Project 2,bruno.alexandre,,baixa,recurso,às vezes,,XY2867XJ,2020-02-18,,,,público,2020-02-18,TESTE ATIVIDADE AVALIATIVA,novo,aberto,
0003612,Desafio jMeter Project 2,bruno.alexandre,,baixa,recurso,às vezes,,XY2867XJ,2020-02-18,,,,público,2020-02-18,TESTE ATIVIDADE AVALIATIVA,novo,aberto,
0003610,Desafio jMeter Project 2,bruno.alexandre,,baixa,recurso,às vezes,,XY2867XJ,2020-02-18,,,,público,2020-02-18,TESTE ATIVIDADE AVALIATIVA,novo,aberto,
0003607,Desafio jMeter Project 2,bruno.alexandre,,baixa,recurso,às vezes,,XY2867XJ,2020-02-18,,,,público,2020-02-18,TESTE ATIVIDADE AVALIATIVA,novo,aberto,
0003606,Desafio jMeter Project 2,bruno.alexandre,,baixa,recurso,às vezes,,XY2867XJ,2020-02-18,,,,público,2020-02-18,TESTE ATIVIDADE AVALIATIVA,novo,aberto,
0003603,Desafio jMeter Project 2,bruno.alexandre,,baixa,recurso,às vezes,,XY2867XJ,2020-02-18,,,,público,2020-02-18,TESTE ATIVIDADE AVALIATIVA,novo,aberto,
0003602,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,não se tentou,,a,2020-02-18,,,,público,2020-02-18,TTTT,novo,aberto,
0003601,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,não se tentou,,a,2020-02-18,,,,público,2020-02-18,TTTT,novo,aberto,
0003600,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,não se tentou,,a,2020-02-18,,,,público,2020-02-18,VVVV,novo,aberto,
0003599,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,não se tentou,,a,2020-02-18,,,,público,2020-02-18,VVVV,novo,aberto,
0003598,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,não se tentou,,a,2020-02-18,,,xxxx,público,2020-02-18,yyyyyyyy,novo,aberto,
0003597,Desafio jMeter Project 1,larissa.bicalho,,normal,pequeno,não se tentou,,a,2020-02-18,,,xxxx,público,2020-02-18,yyyyyyyy,novo,aberto,
0003596,Desafio jMeter Project 1,larissa.bicalho,,normal,pequeno,não se tentou,,a,2020-02-18,,,,público,2020-02-18,bbbb,novo,aberto,
0003595,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,não se tentou,,a,2020-02-18,,,xxxx,público,2020-02-18,yyyyyyyy,novo,aberto,
0003594,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,não se tentou,,a,2020-02-18,,,,público,2020-02-18,bbbb,novo,aberto,
0003592,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,não se tentou,,a,2020-02-18,,,,público,2020-02-18,bbbb,novo,aberto,
0003591,Desafio jMeter Project 1,larissa.bicalho,emanuelle.menali,normal,pequeno,não se tentou,,Teste,2020-02-18,,,,público,2020-02-18,nnnnnnnnnnnnnnnnnnnnnnnnnnn,atribuído,aberto,
0003590,Larissa Bicalho's Project,larissa.bicalho,emanuelle.menali,normal,pequeno,não se tentou,,Teste,2020-02-18,,,,público,2020-02-18,nnnnnnnnnnnnnnnnnnnnnnnnnnn,atribuído,aberto,
0003588,Desafio jMeter Project 1,larissa.bicalho,,normal,trivial,sempre,,7EI2PODHPN,2020-02-18,,,,público,2020-02-18,hhhh,novo,aberto,
0003586,Desafio jMeter Project 1,larissa.bicalho,,normal,trivial,sempre,,7EI2PODHPN,2020-02-18,,,,público,2020-02-18,xxxxxxxxxxxx,novo,aberto,
0003587,Larissa Bicalho's Project,larissa.bicalho,,normal,trivial,sempre,,7EI2PODHPN,2020-02-18,,,,público,2020-02-18,9503561792,novo,aberto,
0003578,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,não se tentou,,asasasasa,2020-02-18,,,,público,2020-02-18,testando o card,novo,aberto,
0003569,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,não se tentou,,asasasasa,2020-02-17,,,,público,2020-02-18,testando o card,novo,aberto,
0003577,Desafio jMeter Project 2,bruno.alexandre,,normal,texto,aleatório,,8SDWVXXR6F,2020-02-18,,,,público,2020-02-18,rr,novo,aberto,
0003576,Desafio jMeter Project 2,bruno.alexandre,,normal,texto,incapaz de reproduzir,,DS2249OL,2020-02-18,,,,público,2020-02-18,teste,novo,aberto,
0003575,Desafio jMeter Project 2,bruno.alexandre,,baixa,recurso,às vezes,,XY2867XJ,2020-02-18,,,,público,2020-02-18,TESTE ATIVIDADE AVALIATIVA,novo,aberto,
0003574,Larissa Bicalho's Project,larissa.bicalho,,normal,trivial,sempre,,7EI2PODHPN,2020-02-17,,,,público,2020-02-17,9503561792,novo,aberto,
0003570,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,app_14,2020-02-17,,,,público,2020-02-17,Sumário - ETJEISEABT,novo,aberto,
0003568,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,não se tentou,,asasasasa,2020-02-17,,,,público,2020-02-17,testando o card,novo,aberto,
0003567,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,asasasasa,2020-02-17,,,,público,2020-02-17,Sumário - AUMHPPMDSZ,novo,aberto,
0003539,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,Teste Patrick,2020-02-14,,,,público,2020-02-14,Sumário - FACSIADCOT,novo,aberto,
0003538,Desafio jMeter Project 1,templateautomacao,emanuelle.menali,normal,pequeno,não se tentou,,Teste,2020-02-14,,,,público,2020-02-14,Sumário - JCNRAYWUPY,atribuído,aberto,
0003537,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,UX4245MX,2020-02-14,,,,público,2020-02-14,Sumário - PDCYFDWGYT,novo,aberto,
0003536,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,XT8209IX,2020-02-14,,,,público,2020-02-14,Sumário - ALGYVPCDDO,novo,aberto,
0003535,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,XY2867XJ,2020-02-14,,,,público,2020-02-14,Sumário - NBMZXQCAHF,novo,aberto,
0003534,Desafio jMeter Project 1,Treinamento09,,normal,trivial,sempre,,7EI2PODHPN,2020-02-14,,,,público,2020-02-14,0805648415,novo,aberto,
